09:30,16/11/2019 10:30:00 PM,XR ACT, Peaceful Protest Training Sun 09:30 UTC+11 &#183; 115 guests,/events/489742911634007/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
17:00,17/11/2019 6:00:00 AM,XR ACT, Blockade MPs - open organising meeting Sun 17:00 UTC+11 &#183; 141 guests,/events/421234028824854/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
09:15,16/11/2019 10:15:00 PM,XR Sydney, Hazelbrook: The Work That Reconnects Sun 09:15 UTC+11 &#183; 55 guests,/events/433907977309792/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
,17/11/2019 1:00:00 PM,XR Sydney, XR Global Hunger Strike 18 Nov–25 Nov &#183; 996 guests,/events/2637555322972382/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
18:30,19/11/2019 7:30:00 AM,XR Sydney, Welcome to the Rebellion - Next Steps To Climate Action Tue 18:30 UTC+11 &#183; 243 guests,/events/420984315505143/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
18:30,19/11/2019 7:30:00 AM,XR Sydney, Sydney: Heading For Extinction (And What To Do About It) Tue 18:30 UTC+11 &#183; 295 guests,/events/569853700419892/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
08:00,21/11/2019 9:00:00 PM,XR Sydney, Sydney: Weekly Stand in Silence for Climate Action Fri 08:00 UTC+11 &#183; 84 guests,/events/409487146593678/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
12:00,22/11/2019 1:00:00 AM,XR Sydney, Sydney: GHD Should Support Renewables Not Coal Fri 12:00 UTC+11 &#183; 27 guests,/events/1148608142010057/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
13:00,17/11/2019 2:00:00 AM,XR VIC, Montmorency: Welcome to the Rebellion Sun 13:00 UTC+11 &#183; 18 guests,/events/675355946204265/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
14:00,17/11/2019 3:00:00 AM,XR VIC, Hills XR - Local Group Meeting Sun 14:00 UTC+11 &#183; 20 guests,/events/701967150284930/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
18:30,18/11/2019 7:30:00 AM,XR VIC, A Just Transition: Workers Rights and the Environment Movement Mon 18:30 UTC+11 &#183; 240 guests,/events/607985406404929/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
18:15,19/11/2019 7:15:00 AM,XR VIC, XR Yarra Working Group Tue 18:15 UTC+11 &#183; 23 guests,/events/677171622808638/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
18:30,19/11/2019 7:30:00 AM,XR VIC, Melbourne: Galilee Rising Frontline Info - Step Up to #StopAdani Tue 18:30 UTC+11 &#183; 215 guests,/events/512528782662631/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
15:00,20/11/2019 4:00:00 AM,XR VIC, XR Grey Power Meeting Wed 15:00 UTC+11 &#183; 18 guests,/events/434651380802468/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
13:30,17/11/2019 2:30:00 AM,XR SEQ, Indooroopilly - Introduction to Extinction Rebellion Sun 13:30 UTC+10 &#183; 33 guests,/events/2386083461654595/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
,17/11/2019 1:00:00 PM,XR SEQ, XR Global Hunger Strike 18 Nov–25 Nov &#183; 996 guests,/events/2637555322972382/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
